Path,Phy_Cfg,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,tWDQS_on,tWDQS_off,csr_BL,csr_PDDS,csr_RPST,csr_DQSIntervalTimerRunTime,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iClkGatingMode,MinorMode_iCalibrationMode,MinorMode_iPhyMstr_Type3_Disable,MinorMode_iPhyMstr_Type2_Disable,MinorMode_iProductionTestMode,MinorMode_iFWModeDebug,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,csr_WCK_ON,csr_RdqsPre,csr_WCKMode,tWCKENL_FS,tWCKPRE_Toggle_WR,csr_RpstMode,csr_RECC,csr_CKR,csr_BkOrg,csr_WCK_FM,tWCKENL_RD,csr_WECC,csr_CkMode,csr_WCK2DQIIntervalTimerRunTimeSetting,tWCKPST,csr_DVFSC,tWCKPRE_Static,csr_RdqsPst,tWCKENL_WR,BumpReMapCA_6,tWCKPRE_Toggle_FS,csr_WCK2DQOIntervalTimerRunTimeSetting,tWCKPRE_Toggle_RD,csr_WckPst
LABELS,exta,extra,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST
/server/regressdb/tss_lp54_WW51_GOLD_LP4_CFG8_MIDWEEK1_REGR__20221221_065813__andrei__CONFIG@r9243_VERIF@r9168_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7228/chain_0/datapath_tests/LP4_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_739/local_log.log,8,3758,4,16,1,0,1064,1,1,36,18,7,7,7,0,1,0,1,8,36,2,6,1,137,6,0,1,2,2,0,0,0,16,6,0,734,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW51_GOLD_LP4_CFG8_MIDWEEK1_REGR__20221221_065813__andrei__CONFIG@r9243_VERIF@r9168_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7228/chain_0/datapath_tests/LP4_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_739/local_log.log,8,3824,4,16,1,0,1046,1,1,36,18,7,7,7,0,0,0,0,8,36,2,6,1,72,4,0,2,2,2,0,0,0,16,0,0,827,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW51_GOLD_LP4_CFG8_MIDWEEK1_REGR__20221221_065813__andrei__CONFIG@r9243_VERIF@r9168_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7228/chain_0/datapath_tests/LP4_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_195/local_log.log,8,4264,4,16,1,0,938,1,1,36,18,7,7,7,0,0,0,0,8,36,2,6,1,194,6,0,1,4,2,0,0,0,16,6,0,167,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW51_GOLD_LP4_CFG8_MIDWEEK1_REGR__20221221_065813__andrei__CONFIG@r9243_VERIF@r9168_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7228/chain_0/datapath_tests/LP4_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_195/local_log.log,8,4264,4,16,1,0,938,1,1,40,34,7,7,7,1,1,1,1,24,52,2,6,1,161,6,0,1,4,2,0,0,0,16,0,0,952,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW51_GOLD_LP4_CFG8_MIDWEEK1_REGR__20221221_065813__andrei__CONFIG@r9243_VERIF@r9168_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7228/chain_0/datapath_tests/LP4_ch2_X16_1to4/FreqRanges/run_745/local_log.log,8,3992,4,16,0,0,2004,1,1,36,18,7,7,7,0,0,0,1,8,36,2,6,1,54,6,0,0,1,2,0,0,0,16,6,0,765,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW51_GOLD_LP4_CFG8_MIDWEEK1_REGR__20221221_065813__andrei__CONFIG@r9243_VERIF@r9168_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7228/chain_0/datapath_tests/LP4_ch2_X16_1to4/FreqRanges/run_745/local_log.log,8,3758,4,16,0,0,2128,1,1,36,18,7,7,7,0,0,0,1,8,36,2,6,1,102,6,4,0,1,2,0,0,0,16,0,0,152,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW51_GOLD_LP4_CFG8_MIDWEEK1_REGR__20221221_065813__andrei__CONFIG@r9243_VERIF@r9168_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7228/chain_0/datapath_tests/LP4_ch2_X16_1to4/FreqRanges/run_745/local_log.log,8,3802,4,16,0,0,2104,1,1,36,18,7,7,7,0,1,0,1,8,36,2,6,1,59,6,4,2,1,2,0,0,0,16,0,0,614,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW51_GOLD_LP4_CFG8_MIDWEEK1_REGR__20221221_065813__andrei__CONFIG@r9243_VERIF@r9168_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7228/chain_0/datapath_tests/LP4_ch2_X16_1to4/FreqRanges/run_745/local_log.log,8,3852,4,16,0,0,2076,1,1,36,18,7,7,7,0,0,0,1,8,36,2,6,1,81,4,6,2,1,2,0,0,0,16,0,0,617,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW51_GOLD_LP4_CFG8_MIDWEEK1_REGR__20221221_065813__andrei__CONFIG@r9243_VERIF@r9168_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7228/chain_0/datapath_tests/LP4_ch2_X16_1to4/FreqRanges/run_203/local_log.log,8,4264,4,16,0,0,1876,1,1,40,18,7,7,7,0,0,1,0,8,36,2,6,1,34,6,4,2,1,2,0,0,0,16,6,0,896,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
